date,close
2025-05-16,107.22064208984375
2025-05-19,108.46404266357422
2025-05-20,106.40497589111328
2025-05-21,103.87838745117188
2025-05-22,108.28498840332031
2025-05-23,112.14449310302734
2025-05-27,116.43173217773438
2025-05-28,116.7201919555664
2025-05-29,117.5159683227539
2025-05-30,117.31703186035156
2025-06-02,118.52063751220703
2025-06-03,122.57908630371094
2025-06-04,126.96578979492188
2025-06-05,127.02547454833984
2025-06-06,126.29933166503906
2025-06-09,129.482421875
2025-06-10,127.3139419555664
2025-06-11,125.82186126708984
2025-06-12,125.40408325195312
2025-06-13,126.59774017333984
2025-06-16,130.3478240966797
2025-06-17,130.17872619628906
2025-06-18,130.60646057128906
2025-06-20,130.2682647705078
2025-06-23,132.37705993652344
2025-06-24,135.58999633789062
2025-06-25,138.5399932861328
2025-06-26,140.69000244140625
2025-06-27,141.44000244140625
2025-06-30,144.3300018310547
2025-07-01,145.0399932861328
2025-07-02,151.94000244140625
2025-07-03,149.44000244140625
2025-07-07,148.38999938964844
2025-07-08,144.47000122070312
2025-07-09,142.00999450683594
2025-07-10,144.5
2025-07-11,147.17999267578125
2025-07-14,149.0800018310547
2025-07-15,149.0500030517578
2025-07-16,147.1199951171875
2025-07-17,146.72000122070312
2025-07-18,149.07000732421875
2025-07-21,149.6300048828125
2025-07-22,146.58999633789062
2025-07-23,152.75999450683594
2025-07-24,152.72999572753906
2025-07-25,150.88999938964844
2025-07-28,150.4600067138672
2025-07-29,152.67999267578125
2025-07-30,147.4199981689453
2025-07-31,157.00999450683594
2025-08-01,154.80999755859375
2025-08-04,154.80999755859375
2025-08-05,151.74000549316406
2025-08-06,147.27000427246094
2025-08-07,148.10000610351562
2025-08-08,150.4499969482422
2025-08-11,151.69000244140625
2025-08-12,155.58999633789062
2025-08-13,156.9199981689453
2025-08-14,155.72999572753906
2025-08-15,154.42999267578125
